library,scheme,N,category,grid_depth,trial,step_index,step_name,max_abs_error,mean_abs_error,status
SEAL,CKKS,4096,5,0,5,1,after_add,9.61098,1.36074,measured
SEAL,CKKS,4096,5,0,6,0,fresh,6.68654,0.957298,measured
SEAL,CKKS,4096,5,0,6,1,after_add,10.0489,1.34664,measured
SEAL,CKKS,4096,5,0,7,0,fresh,7.20361,0.949992,measured
SEAL,CKKS,4096,5,0,7,1,after_add,9.00006,1.32419,measured
SEAL,CKKS,4096,5,0,8,0,fresh,6.6411,0.962779,measured
SEAL,CKKS,4096,5,0,8,1,after_add,11.6156,1.40181,measured
SEAL,CKKS,4096,5,0,9,0,fresh,6.80455,0.964482,measured
SEAL,CKKS,4096,5,0,9,1,after_add,9.18713,1.3456,measured
SEAL,CKKS,8192,1,2,0,0,fresh,6.59282e-09,8.61154e-10,measured
SEAL,CKKS,8192,1,2,0,1,after_add,9.50006e-09,1.24248e-09,measured
SEAL,CKKS,8192,1,2,0,2,after_multiply_1,9.87841e-09,9.50698e-10,measured
SEAL,CKKS,8192,1,2,0,3,after_relinearize_1,9.87841e-09,9.50698e-10,measured
SEAL,CKKS,8192,1,2,0,4,after_rescale_1,1.158e-08,1.32327e-09,measured
SEAL,CKKS,8192,1,2,0,5,after_multiply_2,1.0427e-08,7.69739e-10,measured
SEAL,CKKS,8192,1,2,0,6,after_relinearize_2,1.0427e-08,7.69739e-10,measured
SEAL,CKKS,8192,1,2,0,7,after_rescale_2,1.12248e-08,1.21867e-09,measured
SEAL,CKKS,8192,1,2,1,0,fresh,7.17539e-09,8.86121e-10,measured
SEAL,CKKS,8192,1,2,1,1,after_add,9.30168e-09,1.23871e-09,measured
SEAL,CKKS,8192,1,2,1,2,after_multiply_1,1.15099e-08,9.3417e-10,measured
SEAL,CKKS,8192,1,2,1,3,after_relinearize_1,1.15099e-08,9.3417e-10,measured
SEAL,CKKS,8192,1,2,1,4,after_rescale_1,1.07444e-08,1.31938e-09,measured
SEAL,CKKS,8192,1,2,1,5,after_multiply_2,8.46623e-09,7.82763e-10,measured
SEAL,CKKS,8192,1,2,1,6,after_relinearize_2,8.46623e-09,7.82763e-10,measured
SEAL,CKKS,8192,1,2,1,7,after_rescale_2,9.20623e-09,1.20625e-09,measured
SEAL,CKKS,8192,1,2,2,0,fresh,8.619e-09,8.89856e-10,measured
SEAL,CKKS,8192,1,2,2,1,after_add,9.85117e-09,1.26048e-09,measured
SEAL,CKKS,8192,1,2,2,2,after_multiply_1,9.30609e-09,9.50554e-10,measured
SEAL,CKKS,8192,1,2,2,3,after_relinearize_1,9.30609e-09,9.50554e-10,measured
SEAL,CKKS,8192,1,2,2,4,after_rescale_1,1.198e-08,1.33375e-09,measured
SEAL,CKKS,8192,1,2,2,5,after_multiply_2,9.77139e-09,7.7642e-10,measured
SEAL,CKKS,8192,1,2,2,6,after_relinearize_2,9.77139e-09,7.7642e-10,measured
SEAL,CKKS,8192,1,2,2,7,after_rescale_2,1.18487e-08,1.20719e-09,measured
SEAL,CKKS,8192,1,2,3,0,fresh,1.09526e-08,8.8335e-10,measured
SEAL,CKKS,8192,1,2,3,1,after_add,1.24213e-08,1.2598e-09,measured
