library,scheme,N,category,grid_depth,trial,step_index,step_name,max_abs_error,mean_abs_error,correctness,status
SEAL,CKKS,8192,1,2,3,1,after_add,1.41626e-08,1.26005e-09,correct,measured
SEAL,CKKS,8192,1,2,3,2,after_multiply_1,1.08681e-08,9.38728e-10,correct,measured
SEAL,CKKS,8192,1,2,3,3,after_relinearize_1,1.08681e-08,9.38728e-10,correct,measured
SEAL,CKKS,8192,1,2,3,4,after_rescale_1,1.27708e-08,1.30882e-09,correct,measured
SEAL,CKKS,8192,1,2,3,5,after_multiply_2,1.0296e-08,7.80353e-10,correct,measured
SEAL,CKKS,8192,1,2,3,6,after_relinearize_2,1.0296e-08,7.80353e-10,correct,measured
SEAL,CKKS,8192,1,2,3,7,after_rescale_2,1.21419e-08,1.22842e-09,correct,measured
SEAL,CKKS,8192,1,2,4,0,fresh,5.62553e-09,8.77534e-10,correct,measured
SEAL,CKKS,8192,1,2,4,1,after_add,1.21541e-08,1.21539e-09,correct,measured
SEAL,CKKS,8192,1,2,4,2,after_multiply_1,1.0669e-08,9.3309e-10,correct,measured
SEAL,CKKS,8192,1,2,4,3,after_relinearize_1,1.0669e-08,9.3309e-10,correct,measured
SEAL,CKKS,8192,1,2,4,4,after_rescale_1,1.06889e-08,1.30998e-09,correct,measured
SEAL,CKKS,8192,1,2,4,5,after_multiply_2,9.74597e-09,7.57046e-10,correct,measured
SEAL,CKKS,8192,1,2,4,6,after_relinearize_2,9.74597e-09,7.57046e-10,correct,measured
SEAL,CKKS,8192,1,2,4,7,after_rescale_2,1.21286e-08,1.2232e-09,correct,measured
SEAL,CKKS,8192,1,2,5,0,fresh,5.74873e-09,8.87106e-10,correct,measured
SEAL,CKKS,8192,1,2,5,1,after_add,1.05671e-08,1.2633e-09,correct,measured
SEAL,CKKS,8192,1,2,5,2,after_multiply_1,1.07905e-08,9.56384e-10,correct,measured
SEAL,CKKS,8192,1,2,5,3,after_relinearize_1,1.07905e-08,9.56384e-10,correct,measured
SEAL,CKKS,8192,1,2,5,4,after_rescale_1,1.31195e-08,1.35038e-09,correct,measured
SEAL,CKKS,8192,1,2,5,5,after_multiply_2,1.5925e-08,8.03151e-10,correct,measured
SEAL,CKKS,8192,1,2,5,6,after_relinearize_2,1.5925e-08,8.03151e-10,correct,measured
SEAL,CKKS,8192,1,2,5,7,after_rescale_2,1.19868e-08,1.25876e-09,correct,measured
SEAL,CKKS,8192,1,2,6,0,fresh,7.39893e-09,8.98867e-10,correct,measured
SEAL,CKKS,8192,1,2,6,1,after_add,9.15442e-09,1.2475e-09,correct,measured
SEAL,CKKS,8192,1,2,6,2,after_multiply_1,1.09653e-08,9.56497e-10,correct,measured
SEAL,CKKS,8192,1,2,6,3,after_relinearize_1,1.09653e-08,9.56497e-10,correct,measured
SEAL,CKKS,8192,1,2,6,4,after_rescale_1,1.45486e-08,1.36204e-09,correct,measured
SEAL,CKKS,8192,1,2,6,5,after_multiply_2,1.32773e-08,7.74896e-10,correct,measured
SEAL,CKKS,8192,1,2,6,6,after_relinearize_2,1.32773e-08,7.74896e-10,correct,measured
SEAL,CKKS,8192,1,2,6,7,after_rescale_2,1.20811e-08,1.20988e-09,correct,measured
SEAL,CKKS,8192,1,2,7,0,fresh,7.43837e-09,8.92757e-10,correct,measured
SEAL,CKKS,8192,1,2,7,1,after_add,9.94509e-09,1.25569e-09,correct,measured
SEAL,CKKS,8192,1,2,7,2,after_multiply_1,9.59149e-09,9.33902e-10,correct,measured
SEAL,CKKS,8192,1,2,7,3,after_relinearize_1,9.59149e-09,9.33902e-10,correct,measured
SEAL,CKKS,8192,1,2,7,4,after_rescale_1,9.77287e-09,1.31115e-09,correct,measured
SEAL,CKKS,8192,1,2,7,5,after_multiply_2,8.8876e-09,7.72238e-10,correct,measured
SEAL,CKKS,8192,1,2,7,6,after_relinearize_2,8.8876e-09,7.72238e-10,correct,measured
SEAL,CKKS,8192,1,2,7,7,after_rescale_2,1.1434e-08,1.23309e-09,correct,measured
SEAL,CKKS,8192,1,2,8,0,fresh,7.00159e-09,8.77995e-10,correct,measured
SEAL,CKKS,8192,1,2,8,1,after_add,8.70716e-09,1.26392e-09,correct,measured
SEAL,CKKS,8192,1,2,8,2,after_multiply_1,1.17651e-08,9.31809e-10,correct,measured
SEAL,CKKS,8192,1,2,8,3,after_relinearize_1,1.17651e-08,9.31809e-10,correct,measured
SEAL,CKKS,8192,1,2,8,4,after_rescale_1,1.12601e-08,1.3231e-09,correct,measured
SEAL,CKKS,8192,1,2,8,5,after_multiply_2,1.13379e-08,7.91186e-10,correct,measured
SEAL,CKKS,8192,1,2,8,6,after_relinearize_2,1.13379e-08,7.91186e-10,correct,measured
SEAL,CKKS,8192,1,2,8,7,after_rescale_2,1.24928e-08,1.2004e-09,correct,measured
SEAL,CKKS,8192,1,2,9,0,fresh,8.68099e-09,8.87305e-10,correct,measured
SEAL,CKKS,8192,1,2,9,1,after_add,1.11753e-08,1.24882e-09,correct,measured
SEAL,CKKS,8192,1,2,9,2,after_multiply_1,1.20358e-08,9.34134e-10,correct,measured
SEAL,CKKS,8192,1,2,9,3,after_relinearize_1,1.20358e-08,9.34134e-10,correct,measured
SEAL,CKKS,8192,1,2,9,4,after_rescale_1,1.29884e-08,1.30741e-09,correct,measured
SEAL,CKKS,8192,1,2,9,5,after_multiply_2,1.28641e-08,7.62429e-10,correct,measured
SEAL,CKKS,8192,1,2,9,6,after_relinearize_2,1.28641e-08,7.62429e-10,correct,measured
SEAL,CKKS,8192,1,2,9,7,after_rescale_2,1.5097e-08,1.2033e-09,correct,measured
