scheme,N,category,operation,batch1_per_item_ms,batch1_n,batch100_per_item_ms,batch100_n,diff,margin_pct,margin,se,df,ci_low,ci_high,p_lower,p_upper,verdict,real_difference_outside_margin
BGV,8192,1,encrypt,3.2336666,100,3.1601890000000004,10,-0.07347759999999948,0.1,0.32336666000000003,0.007053602242854626,34.67437688980803,-0.08539821488975091,-0.06155698511024804,4.03014843827974e-29,5.754238703345592e-36,equivalent_within_margin,False
BGV,8192,1,multiply,0.47106792,100,0.438562,10,-0.032505919999999966,0.1,0.047106792,0.006222691934220925,11.196201840633702,-0.043663264336293396,-0.021348575663706536,0.01917874619682764,2.4919253651637995e-08,equivalent_within_margin,False
BGV,8192,1,relinearize,2.2849566,100,2.275341,10,-0.009615600000000057,0.1,0.22849566000000002,0.012610331828410636,74.09146676633047,-0.030620387902411034,0.011389187902410919,4.03058480594332e-28,2.448945072617142e-30,equivalent_within_margin,False
BGV,8192,3,add,0.03920514,100,0.04174961,10,0.00254447,0.1,0.003920514,0.0023005578063475095,11.721850435192254,-0.0015639074118157705,0.006652847411815771,0.008029507134840339,0.28056459385065446,equivalence_not_established,False
BGV,8192,3,decrypt,0.35717683,100,0.4080438,10,0.05086697000000001,0.1,0.035717683,0.02828977669752037,9.131835148310898,-0.0009062775298181933,0.10264021752981822,0.006666388722316576,0.6974520193762963,equivalence_not_established,False
BGV,8192,3,encrypt,2.9275765,100,2.510291,10,-0.41728549999999975,0.1,0.29275765,0.041648314803812585,83.89669299301335,-0.4865557900825399,-0.3480152099174596,0.998169743404053,2.721565384219349e-29,equivalence_not_established,True
BGV,8192,3,multiply,0.31445862,100,0.31050079999999997,10,-0.003957820000000056,0.1,0.031445862000000005,0.012885623645132427,9.127095123358687,-0.02754123012767968,0.019625590127679567,0.030639104727387872,0.01114257538188907,equivalent_within_margin,False
BGV,8192,3,relinearize,1.4189965,100,1.4155369999999998,10,-0.0034595000000001708,0.1,0.14189965000000002,0.013658802733720374,32.28773130716565,-0.02658984904011679,0.01967084904011645,7.369086881579058e-12,2.1706839369160016e-12,equivalent_within_margin,False
BGV,8192,5,add,0.01917341,100,0.01978964,10,0.0006162300000000023,0.1,0.001917341,0.0006104732263448074,57.09757322350204,-0.0004044700536482602,0.0016369300536482648,5.594106106143954e-05,0.018690204798334647,equivalent_within_margin,False
BGV,8192,5,decrypt,0.2086393,100,0.20684560000000002,10,-0.0017936999999999814,0.1,0.020863930000000003,0.0020122557517383423,107.76086770143652,-0.005132267724180906,0.0015448677241809423,3.6733954804971033e-16,3.274073131501922e-20,equivalent_within_margin,False
