library,scheme,N,category,scenario,operation,batch_size,metric,mean,std,ci_low,ci_high,median,iqr_low,iqr_high,flag
SEAL,BFV,2048,1,edge_batch,add,10,latency_ms,0.03907053333333333,0.0037204876370539475,0.03768128041792475,0.040459786248741914,0.0379665,0.037705999999999996,0.03887275,HIGH_VARIANCE;reduced_reps_at_batch_size
SEAL,BFV,2048,1,edge_batch,add,10,throughput_items_per_sec,255947.36357152366,,,,,,,HIGH_VARIANCE;reduced_reps_at_batch_size
SEAL,BFV,2048,1,edge_batch,add,10,energy_pkg_j_per_op,0.04544826666666667,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,2048,1,edge_batch,add,10,peak_memory_mb,6.08984375,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,2048,1,edge_batch,add,100,latency_ms,0.4898822,0.022070868657324934,0.4740936516852111,0.5056707483147889,0.4889615,0.4750025,0.49611525,reduced_reps_at_batch_size
SEAL,BFV,2048,1,edge_batch,add,100,throughput_items_per_sec,204130.70734147922,,,,,,,reduced_reps_at_batch_size
SEAL,BFV,2048,1,edge_batch,add,100,energy_pkg_j_per_op,0.024321226666666668,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,2048,1,edge_batch,add,100,peak_memory_mb,11.74609375,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,2048,1,edge_batch,decrypt,1,latency_ms,0.07161238,0.003580642233403997,0.07090190289829136,0.07232285710170865,0.070642,0.0703695,0.07160675,HIGH_VARIANCE
SEAL,BFV,2048,1,edge_batch,decrypt,1,throughput_items_per_sec,13964.065989707366,,,,,,,HIGH_VARIANCE
SEAL,BFV,2048,1,edge_batch,decrypt,1,energy_pkg_j_per_op,0.11479916190476191,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,2048,1,edge_batch,decrypt,1,peak_memory_mb,5.48828125,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,2048,1,edge_batch,decrypt,10,latency_ms,0.7332776,0.03006071772676553,0.7220527435254728,0.7445024564745272,0.731185,0.71923475,0.73570875,reduced_reps_at_batch_size
SEAL,BFV,2048,1,edge_batch,decrypt,10,throughput_items_per_sec,13637.400078769624,,,,,,,reduced_reps_at_batch_size
SEAL,BFV,2048,1,edge_batch,decrypt,10,energy_pkg_j_per_op,0.04336332727272728,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,2048,1,edge_batch,decrypt,10,peak_memory_mb,5.84375,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,2048,1,edge_batch,decrypt,100,latency_ms,7.296696,0.04718995071928849,7.262938342860542,7.330453657139458,7.27682,7.269632500000001,7.3135775,reduced_reps_at_batch_size
SEAL,BFV,2048,1,edge_batch,decrypt,100,throughput_items_per_sec,13704.832981941416,,,,,,,reduced_reps_at_batch_size
SEAL,BFV,2048,1,edge_batch,decrypt,100,energy_pkg_j_per_op,0.01810897,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,2048,1,edge_batch,decrypt,100,peak_memory_mb,8.76171875,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,2048,1,edge_batch,encrypt,1,latency_ms,0.32987208,0.010205306816840865,0.3278471257217884,0.3318970342782116,0.32710300000000003,0.32545675,0.33113349999999997,
SEAL,BFV,2048,1,edge_batch,encrypt,1,throughput_items_per_sec,3031.4781414662316,,,,,,,
