library,scheme,N,category,scenario,operation,fill_pct,n_real,slot_count,metric,mean,std,ci_low,ci_high,median,iqr_low,iqr_high,flag
SEAL,BGV,8192,1,packing,add,0.0,1,8192,peak_memory_mb,17.8515625,,,,,,,n=1_invocation_not_repeated
SEAL,BGV,8192,1,packing,encrypt,0.1,819,8192,latency_ms,3.3022587,0.06379349562574163,3.289600686457845,3.314916713542155,3.292415,3.2710725000000003,3.3140625000000004,
SEAL,BGV,8192,1,packing,encrypt,0.1,819,8192,latency_per_value_ms,0.004032061904761904,,,,,,,derived_not_measured
SEAL,BGV,8192,1,packing,encrypt,0.1,819,8192,throughput_items_per_sec,248012.06519646692,,,,,,,derived_not_measured
SEAL,BGV,8192,1,packing,encrypt,0.1,819,8192,energy_pkg_j_per_op,0.18746225714285716,,,,,,,n=1_invocation_not_repeated
SEAL,BGV,8192,1,packing,encrypt,0.1,819,8192,peak_memory_mb,17.1953125,,,,,,,n=1_invocation_not_repeated
SEAL,BGV,8192,1,packing,encrypt,0.5,4096,8192,latency_ms,3.2777707,0.04296415636118418,3.269245679263753,3.286295720736247,3.268455,3.2510725000000003,3.2938525000000003,
SEAL,BGV,8192,1,packing,encrypt,0.5,4096,8192,latency_per_value_ms,0.0008002369873046875,,,,,,,derived_not_measured
SEAL,BGV,8192,1,packing,encrypt,0.5,4096,8192,throughput_items_per_sec,1249629.816997266,,,,,,,derived_not_measured
SEAL,BGV,8192,1,packing,encrypt,0.5,4096,8192,energy_pkg_j_per_op,0.18777802857142856,,,,,,,n=1_invocation_not_repeated
SEAL,BGV,8192,1,packing,encrypt,0.5,4096,8192,peak_memory_mb,17.18359375,,,,,,,n=1_invocation_not_repeated
SEAL,BGV,8192,1,packing,encrypt,1.0,8192,8192,latency_ms,3.333704,0.09475910899419504,3.3149017369616494,3.3525062630383506,3.311985,3.268715,3.3741875,
SEAL,BGV,8192,1,packing,encrypt,1.0,8192,8192,latency_per_value_ms,0.0004069462890625,,,,,,,derived_not_measured
SEAL,BGV,8192,1,packing,encrypt,1.0,8192,8192,throughput_items_per_sec,2457326.7452659262,,,,,,,derived_not_measured
SEAL,BGV,8192,1,packing,encrypt,1.0,8192,8192,energy_pkg_j_per_op,0.19027510476190476,,,,,,,n=1_invocation_not_repeated
SEAL,BGV,8192,1,packing,encrypt,1.0,8192,8192,peak_memory_mb,17.14453125,,,,,,,n=1_invocation_not_repeated
SEAL,BGV,8192,1,packing,encrypt,0.0,1,8192,latency_ms,3.2824255,0.05641112615692874,3.271232308722134,3.293618691277866,3.27116,3.2461075,3.30381,
SEAL,BGV,8192,1,packing,encrypt,0.0,1,8192,latency_per_value_ms,3.2824255,,,,,,,derived_not_measured
SEAL,BGV,8192,1,packing,encrypt,0.0,1,8192,throughput_items_per_sec,304.6527636346963,,,,,,,derived_not_measured
SEAL,BGV,8192,1,packing,encrypt,0.0,1,8192,energy_pkg_j_per_op,0.18424354285714287,,,,,,,n=1_invocation_not_repeated
SEAL,BGV,8192,1,packing,encrypt,0.0,1,8192,peak_memory_mb,17.13671875,,,,,,,n=1_invocation_not_repeated
SEAL,BGV,8192,1,packing,multiply,0.1,819,8192,latency_ms,0.49198671,0.021126471562777072,0.4877947596997929,0.4961786603002071,0.49140399999999995,0.4794365,0.5017957500000001,
SEAL,BGV,8192,1,packing,multiply,0.1,819,8192,latency_per_value_ms,0.0006007163736263736,,,,,,,derived_not_measured
SEAL,BGV,8192,1,packing,multiply,0.1,819,8192,throughput_items_per_sec,1664679.1129784787,,,,,,,derived_not_measured
SEAL,BGV,8192,1,packing,multiply,0.1,819,8192,energy_pkg_j_per_op,0.2996398,,,,,,,n=1_invocation_not_repeated
SEAL,BGV,8192,1,packing,multiply,0.1,819,8192,peak_memory_mb,19.08203125,,,,,,,n=1_invocation_not_repeated
SEAL,BGV,8192,1,packing,multiply,0.5,4096,8192,latency_ms,0.47512727,0.01937511372393082,0.47128282709100616,0.4789717129089938,0.47075500000000003,0.46197875,0.48746900000000004,
SEAL,BGV,8192,1,packing,multiply,0.5,4096,8192,latency_per_value_ms,0.00011599786865234375,,,,,,,derived_not_measured
SEAL,BGV,8192,1,packing,multiply,0.5,4096,8192,throughput_items_per_sec,8620848.051933538,,,,,,,derived_not_measured
